"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/App.css", "CSS", 0, 14, 0, 3, 17
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/App.js", "JavaScript", 49, 0, 12, 10, 71
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/App.test.js", "JavaScript", 7, 0, 0, 2, 9
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/GUI/StartAudioButton/AudioButton.css", "CSS", 0, 12, 0, 1, 13
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/GUI/StartAudioButton/StartAudioButton.js", "JavaScript", 18, 0, 5, 4, 27
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/MIDI/useMIDIAccess.js", "JavaScript", 68, 0, 4, 14, 86
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/MIDI/usePuredata.js", "JavaScript", 18, 0, 4, 3, 25
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/Sequencing/useRepeater.js", "JavaScript", 27, 0, 6, 5, 38
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/Hooks/useInputFilter.js", "JavaScript", 16, 0, 0, 4, 20
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/Hooks/useOutputFilter.js", "JavaScript", 21, 0, 1, 3, 25
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/Hooks/usePadStore.js", "JavaScript", 105, 0, 1, 8, 114
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/Hooks/useSmartPadInputs.js", "JavaScript", 93, 0, 7, 16, 116
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/Hooks/useSmartPadLights.js", "JavaScript", 48, 0, 2, 8, 58
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/SmartPad.js", "JavaScript", 53, 0, 7, 15, 75
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/SmartPadModel.js", "JavaScript", 131, 0, 23, 21, 175
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/index.css", "CSS", 0, 7, 0, 2, 9
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/index.js", "JavaScript", 12, 0, 3, 3, 18
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 2, 14
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/setupTests.js", "JavaScript", 1, 0, 4, 1, 6
"Total", "-", 679, 33, 79, 125, 916
